GOOG,2015-05-01_09-40-49,537.34,648
YHOO,2015-05-01_09-40-49,42.565,8415
AAPL,2015-05-01_09-40-49,125.15,194938
FB,2015-05-01_09-40-49,78.77,140856
MSFT,2015-05-01_09-40-49,48.64,25992
AMZN,2015-05-01_09-40-49,421.78,2854
SNE,2015-05-01_09-40-49,30.23,0
WMT,2015-05-01_09-40-49,78.05,21337
CAJ,2015-05-01_09-40-49,35.6,2200
TWTR,2015-05-01_09-40-49,38.96,70903
GOOG,2015-05-01_09-40-54,537.34,648
YHOO,2015-05-01_09-40-54,42.565,8415
AAPL,2015-05-01_09-40-54,125.15,194938
FB,2015-05-01_09-40-54,78.77,140856
MSFT,2015-05-01_09-40-54,48.64,25992
AMZN,2015-05-01_09-40-54,421.78,2854
SNE,2015-05-01_09-40-54,30.23,0
WMT,2015-05-01_09-40-54,78.05,21337
CAJ,2015-05-01_09-40-54,35.6,2200
TWTR,2015-05-01_09-40-54,38.96,70903
GOOG,2015-05-01_09-40-59,537.34,648
YHOO,2015-05-01_09-40-59,42.565,8415
AAPL,2015-05-01_09-40-59,125.15,194938
FB,2015-05-01_09-40-59,78.77,140856
MSFT,2015-05-01_09-40-59,48.64,25992
AMZN,2015-05-01_09-40-59,421.78,2854
SNE,2015-05-01_09-40-59,30.23,0
WMT,2015-05-01_09-40-59,78.05,21337
CAJ,2015-05-01_09-40-59,35.6,2200
TWTR,2015-05-01_09-40-59,38.96,70903
GOOG,2015-05-01_09-41-04,537.34,648
YHOO,2015-05-01_09-41-04,42.565,8415
AAPL,2015-05-01_09-41-04,125.15,194938
FB,2015-05-01_09-41-04,78.77,140856
MSFT,2015-05-01_09-41-04,48.64,25992
AMZN,2015-05-01_09-41-04,421.78,2854
SNE,2015-05-01_09-41-04,30.23,0
WMT,2015-05-01_09-41-04,78.05,21337
CAJ,2015-05-01_09-41-04,35.6,2200
TWTR,2015-05-01_09-41-04,38.96,70903
GOOG,2015-05-01_09-41-09,537.34,648
YHOO,2015-05-01_09-41-09,42.565,8415
AAPL,2015-05-01_09-41-09,125.15,194938
FB,2015-05-01_09-41-09,78.77,140856
MSFT,2015-05-01_09-41-09,48.64,25992
AMZN,2015-05-01_09-41-09,421.78,2854
SNE,2015-05-01_09-41-09,30.23,0
WMT,2015-05-01_09-41-09,78.05,21337
CAJ,2015-05-01_09-41-09,35.6,2200
TWTR,2015-05-01_09-41-09,38.96,70903
GOOG,2015-05-01_09-41-14,537.34,648
YHOO,2015-05-01_09-41-14,42.565,8415
AAPL,2015-05-01_09-41-14,125.15,194938
FB,2015-05-01_09-41-14,78.77,140856
MSFT,2015-05-01_09-41-14,48.64,25992
AMZN,2015-05-01_09-41-14,421.78,2854
SNE,2015-05-01_09-41-14,30.23,0
WMT,2015-05-01_09-41-14,78.05,21337
CAJ,2015-05-01_09-41-14,35.6,2200
TWTR,2015-05-01_09-41-14,38.96,70903
GOOG,2015-05-01_09-41-19,537.34,648
YHOO,2015-05-01_09-41-19,42.565,8415
AAPL,2015-05-01_09-41-19,125.15,194938
FB,2015-05-01_09-41-19,78.77,140856
MSFT,2015-05-01_09-41-19,48.64,25992
AMZN,2015-05-01_09-41-19,421.78,2854
SNE,2015-05-01_09-41-19,30.23,0
WMT,2015-05-01_09-41-19,78.05,21337
CAJ,2015-05-01_09-41-19,35.6,2200
TWTR,2015-05-01_09-41-19,38.96,70903
GOOG,2015-05-01_09-41-24,537.34,648
YHOO,2015-05-01_09-41-24,42.565,8415
AAPL,2015-05-01_09-41-24,125.15,194938
FB,2015-05-01_09-41-24,78.77,140856
MSFT,2015-05-01_09-41-24,48.64,25992
AMZN,2015-05-01_09-41-24,421.78,2854
SNE,2015-05-01_09-41-24,30.23,0
WMT,2015-05-01_09-41-24,78.05,21337
CAJ,2015-05-01_09-41-24,35.6,2200
TWTR,2015-05-01_09-41-24,38.96,70903
GOOG,2015-05-01_09-41-29,537.34,648
YHOO,2015-05-01_09-41-29,42.565,8415
AAPL,2015-05-01_09-41-29,125.15,194938
FB,2015-05-01_09-41-29,78.77,140856
MSFT,2015-05-01_09-41-29,48.64,25992
AMZN,2015-05-01_09-41-29,421.78,2854
SNE,2015-05-01_09-41-29,30.23,0
WMT,2015-05-01_09-41-29,78.05,21337
CAJ,2015-05-01_09-41-29,35.6,2200
TWTR,2015-05-01_09-41-29,38.96,70903
GOOG,2015-05-01_09-41-34,537.34,648
YHOO,2015-05-01_09-41-34,42.565,8415
AAPL,2015-05-01_09-41-34,125.15,194938
FB,2015-05-01_09-41-34,78.77,140856
MSFT,2015-05-01_09-41-34,48.64,25992
AMZN,2015-05-01_09-41-34,421.78,2854
SNE,2015-05-01_09-41-34,30.23,0
WMT,2015-05-01_09-41-34,78.05,21337
CAJ,2015-05-01_09-41-34,35.6,2200
TWTR,2015-05-01_09-41-34,38.96,70903
GOOG,2015-05-01_09-41-39,537.34,648
YHOO,2015-05-01_09-41-39,42.565,8415
AAPL,2015-05-01_09-41-39,125.15,194938
FB,2015-05-01_09-41-39,78.77,140856
MSFT,2015-05-01_09-41-39,48.64,25992
AMZN,2015-05-01_09-41-39,421.78,2854
SNE,2015-05-01_09-41-39,30.23,0
WMT,2015-05-01_09-41-39,78.05,21337
CAJ,2015-05-01_09-41-39,35.6,2200
TWTR,2015-05-01_09-41-39,38.96,70903
GOOG,2015-05-01_09-41-44,537.34,648
YHOO,2015-05-01_09-41-44,42.565,8415
AAPL,2015-05-01_09-41-44,125.15,194938
FB,2015-05-01_09-41-44,78.77,140856
MSFT,2015-05-01_09-41-44,48.64,25992
AMZN,2015-05-01_09-41-44,421.78,2854
SNE,2015-05-01_09-41-44,30.23,0
WMT,2015-05-01_09-41-44,78.05,21337
CAJ,2015-05-01_09-41-44,35.6,2200
TWTR,2015-05-01_09-41-44,38.96,70903
GOOG,2015-05-01_09-41-49,537.34,648
YHOO,2015-05-01_09-41-49,42.565,8415
AAPL,2015-05-01_09-41-49,125.15,194938
FB,2015-05-01_09-41-49,78.77,140856
MSFT,2015-05-01_09-41-49,48.64,25992
AMZN,2015-05-01_09-41-49,421.78,2854
SNE,2015-05-01_09-41-49,30.23,0
WMT,2015-05-01_09-41-49,78.05,21337
CAJ,2015-05-01_09-41-49,35.6,2200
TWTR,2015-05-01_09-41-49,38.96,70903
GOOG,2015-05-01_09-41-54,537.34,648
YHOO,2015-05-01_09-41-54,42.565,8415
AAPL,2015-05-01_09-41-54,125.15,194938
FB,2015-05-01_09-41-54,78.77,140856
MSFT,2015-05-01_09-41-54,48.64,25992
AMZN,2015-05-01_09-41-54,421.78,2854
SNE,2015-05-01_09-41-54,30.23,0
WMT,2015-05-01_09-41-54,78.05,21337
CAJ,2015-05-01_09-41-54,35.6,2200
TWTR,2015-05-01_09-41-54,38.96,70903
GOOG,2015-05-01_09-41-59,537.34,648
YHOO,2015-05-01_09-41-59,42.565,8415
AAPL,2015-05-01_09-41-59,125.15,194938
FB,2015-05-01_09-41-59,78.77,140856
MSFT,2015-05-01_09-41-59,48.64,25992
AMZN,2015-05-01_09-41-59,421.78,2854
SNE,2015-05-01_09-41-59,30.23,0
WMT,2015-05-01_09-41-59,78.05,21337
CAJ,2015-05-01_09-41-59,35.6,2200
TWTR,2015-05-01_09-41-59,38.96,70903
GOOG,2015-05-01_09-42-04,537.34,648
YHOO,2015-05-01_09-42-04,42.565,8415
AAPL,2015-05-01_09-42-04,125.15,194938
FB,2015-05-01_09-42-04,78.77,140856
MSFT,2015-05-01_09-42-04,48.64,25992
AMZN,2015-05-01_09-42-04,421.78,2854
SNE,2015-05-01_09-42-04,30.23,0
WMT,2015-05-01_09-42-04,78.05,21337
CAJ,2015-05-01_09-42-04,35.6,2200
TWTR,2015-05-01_09-42-04,38.96,70903
GOOG,2015-05-01_09-42-09,537.34,648
YHOO,2015-05-01_09-42-09,42.565,8415
AAPL,2015-05-01_09-42-09,125.15,194938
FB,2015-05-01_09-42-09,78.77,140856
MSFT,2015-05-01_09-42-09,48.64,25992
AMZN,2015-05-01_09-42-09,421.78,2854
SNE,2015-05-01_09-42-09,30.23,0
WMT,2015-05-01_09-42-09,78.05,21337
CAJ,2015-05-01_09-42-09,35.6,2200
TWTR,2015-05-01_09-42-09,38.96,70903
GOOG,2015-05-01_09-42-14,537.34,648
YHOO,2015-05-01_09-42-14,42.565,8415
AAPL,2015-05-01_09-42-14,125.15,194938
FB,2015-05-01_09-42-14,78.77,140856
MSFT,2015-05-01_09-42-14,48.64,25992
AMZN,2015-05-01_09-42-14,421.78,2854
SNE,2015-05-01_09-42-14,30.23,0
WMT,2015-05-01_09-42-14,78.05,21337
CAJ,2015-05-01_09-42-14,35.6,2200
TWTR,2015-05-01_09-42-14,38.96,70903
GOOG,2015-05-01_09-42-19,537.34,648
YHOO,2015-05-01_09-42-19,42.565,8415
AAPL,2015-05-01_09-42-19,125.15,194938
FB,2015-05-01_09-42-19,78.77,140856
MSFT,2015-05-01_09-42-19,48.64,25992
AMZN,2015-05-01_09-42-19,421.78,2854
SNE,2015-05-01_09-42-19,30.23,0
WMT,2015-05-01_09-42-19,78.05,21337
CAJ,2015-05-01_09-42-19,35.6,2200
TWTR,2015-05-01_09-42-19,38.96,70903
GOOG,2015-05-01_09-42-24,537.34,648
YHOO,2015-05-01_09-42-24,42.565,8415
AAPL,2015-05-01_09-42-24,125.15,194938
FB,2015-05-01_09-42-24,78.77,140856
MSFT,2015-05-01_09-42-24,48.64,25992
AMZN,2015-05-01_09-42-24,421.78,2854
SNE,2015-05-01_09-42-24,30.23,0
WMT,2015-05-01_09-42-24,78.05,21337
CAJ,2015-05-01_09-42-24,35.6,2200
TWTR,2015-05-01_09-42-24,38.96,70903
GOOG,2015-05-01_09-42-29,537.34,648
YHOO,2015-05-01_09-42-29,42.565,8415
AAPL,2015-05-01_09-42-29,125.15,194938
FB,2015-05-01_09-42-29,78.77,140856
MSFT,2015-05-01_09-42-29,48.64,25992
AMZN,2015-05-01_09-42-29,421.78,2854
SNE,2015-05-01_09-42-29,30.23,0
WMT,2015-05-01_09-42-29,78.05,21337
CAJ,2015-05-01_09-42-29,35.6,2200
TWTR,2015-05-01_09-42-29,38.96,70903
GOOG,2015-05-01_09-42-34,537.34,648
YHOO,2015-05-01_09-42-34,42.565,8415
AAPL,2015-05-01_09-42-34,125.15,194938
FB,2015-05-01_09-42-34,78.77,140856
MSFT,2015-05-01_09-42-34,48.64,25992
AMZN,2015-05-01_09-42-34,421.78,2854
SNE,2015-05-01_09-42-34,30.23,0
WMT,2015-05-01_09-42-34,78.05,21337
CAJ,2015-05-01_09-42-34,35.6,2200
TWTR,2015-05-01_09-42-34,38.96,70903
GOOG,2015-05-01_09-42-39,537.34,648
YHOO,2015-05-01_09-42-39,42.565,8415
AAPL,2015-05-01_09-42-39,125.15,194938
FB,2015-05-01_09-42-39,78.77,140856
MSFT,2015-05-01_09-42-39,48.64,25992
AMZN,2015-05-01_09-42-39,421.78,2854
SNE,2015-05-01_09-42-39,30.23,0
WMT,2015-05-01_09-42-39,78.05,21337
CAJ,2015-05-01_09-42-39,35.6,2200
TWTR,2015-05-01_09-42-39,38.96,70903
GOOG,2015-05-01_09-42-44,537.34,648
YHOO,2015-05-01_09-42-44,42.565,8415
AAPL,2015-05-01_09-42-44,125.15,194938
FB,2015-05-01_09-42-44,78.77,140856
MSFT,2015-05-01_09-42-44,48.64,25992
AMZN,2015-05-01_09-42-44,421.78,2854
SNE,2015-05-01_09-42-44,30.23,0
WMT,2015-05-01_09-42-44,78.05,21337
CAJ,2015-05-01_09-42-44,35.6,2200
TWTR,2015-05-01_09-42-44,38.96,70903
GOOG,2015-05-01_09-42-49,537.34,648
YHOO,2015-05-01_09-42-49,42.565,8415
AAPL,2015-05-01_09-42-49,125.15,194938
FB,2015-05-01_09-42-49,78.77,140856
MSFT,2015-05-01_09-42-49,48.64,25992
AMZN,2015-05-01_09-42-49,421.78,2854
SNE,2015-05-01_09-42-49,30.23,0
WMT,2015-05-01_09-42-49,78.05,21337
CAJ,2015-05-01_09-42-49,35.6,2200
TWTR,2015-05-01_09-42-49,38.96,70903
GOOG,2015-05-01_09-42-54,537.34,648
YHOO,2015-05-01_09-42-54,42.565,8415
AAPL,2015-05-01_09-42-54,125.15,194938
FB,2015-05-01_09-42-54,78.77,140856
MSFT,2015-05-01_09-42-54,48.64,25992
AMZN,2015-05-01_09-42-54,421.78,2854
SNE,2015-05-01_09-42-54,30.23,0
WMT,2015-05-01_09-42-54,78.05,21337
CAJ,2015-05-01_09-42-54,35.6,2200
TWTR,2015-05-01_09-42-54,38.96,70903
GOOG,2015-05-01_09-42-59,537.34,648
YHOO,2015-05-01_09-42-59,42.565,8415
AAPL,2015-05-01_09-42-59,125.15,194938
FB,2015-05-01_09-42-59,78.77,140856
MSFT,2015-05-01_09-42-59,48.64,25992
AMZN,2015-05-01_09-42-59,421.78,2854
SNE,2015-05-01_09-42-59,30.23,0
WMT,2015-05-01_09-42-59,78.05,21337
CAJ,2015-05-01_09-42-59,35.6,2200
TWTR,2015-05-01_09-42-59,38.96,70903
GOOG,2015-05-01_09-43-04,537.34,648
YHOO,2015-05-01_09-43-04,42.565,8415
AAPL,2015-05-01_09-43-04,125.15,194938
FB,2015-05-01_09-43-04,78.77,140856
MSFT,2015-05-01_09-43-04,48.64,25992
AMZN,2015-05-01_09-43-04,421.78,2854
SNE,2015-05-01_09-43-04,30.23,0
WMT,2015-05-01_09-43-04,78.05,21337
CAJ,2015-05-01_09-43-04,35.6,2200
TWTR,2015-05-01_09-43-04,38.96,70903
GOOG,2015-05-01_09-43-09,537.34,648
YHOO,2015-05-01_09-43-09,42.565,8415
AAPL,2015-05-01_09-43-09,125.15,194938
FB,2015-05-01_09-43-09,78.77,140856
MSFT,2015-05-01_09-43-09,48.64,25992
AMZN,2015-05-01_09-43-09,421.78,2854
SNE,2015-05-01_09-43-09,30.23,0
WMT,2015-05-01_09-43-09,78.05,21337
CAJ,2015-05-01_09-43-09,35.6,2200
TWTR,2015-05-01_09-43-09,38.96,70903
GOOG,2015-05-01_09-43-14,537.34,648
YHOO,2015-05-01_09-43-14,42.565,8415
AAPL,2015-05-01_09-43-14,125.15,194938
FB,2015-05-01_09-43-14,78.77,140856
MSFT,2015-05-01_09-43-14,48.64,25992
AMZN,2015-05-01_09-43-14,421.78,2854
SNE,2015-05-01_09-43-14,30.23,0
WMT,2015-05-01_09-43-14,78.05,21337
CAJ,2015-05-01_09-43-14,35.6,2200
TWTR,2015-05-01_09-43-14,38.96,70903
GOOG,2015-05-01_09-43-19,537.34,648
YHOO,2015-05-01_09-43-19,42.565,8415
AAPL,2015-05-01_09-43-19,125.15,194938
FB,2015-05-01_09-43-19,78.77,140856
MSFT,2015-05-01_09-43-19,48.64,25992
AMZN,2015-05-01_09-43-19,421.78,2854
SNE,2015-05-01_09-43-19,30.23,0
WMT,2015-05-01_09-43-19,78.05,21337
CAJ,2015-05-01_09-43-19,35.6,2200
TWTR,2015-05-01_09-43-19,38.96,70903
GOOG,2015-05-01_09-43-24,537.34,648
YHOO,2015-05-01_09-43-24,42.565,8415
AAPL,2015-05-01_09-43-24,125.15,194938
FB,2015-05-01_09-43-24,78.77,140856
MSFT,2015-05-01_09-43-24,48.64,25992
AMZN,2015-05-01_09-43-24,421.78,2854
SNE,2015-05-01_09-43-24,30.23,0
WMT,2015-05-01_09-43-24,78.05,21337
CAJ,2015-05-01_09-43-24,35.6,2200
TWTR,2015-05-01_09-43-24,38.96,70903
GOOG,2015-05-01_09-43-29,537.34,648
YHOO,2015-05-01_09-43-29,42.565,8415
AAPL,2015-05-01_09-43-29,125.15,194938
FB,2015-05-01_09-43-29,78.77,140856
MSFT,2015-05-01_09-43-29,48.64,25992
AMZN,2015-05-01_09-43-29,421.78,2854
SNE,2015-05-01_09-43-29,30.23,0
WMT,2015-05-01_09-43-29,78.05,21337
CAJ,2015-05-01_09-43-29,35.6,2200
TWTR,2015-05-01_09-43-29,38.96,70903
GOOG,2015-05-01_09-43-34,537.34,648
YHOO,2015-05-01_09-43-34,42.565,8415
AAPL,2015-05-01_09-43-34,125.15,194938
FB,2015-05-01_09-43-34,78.77,140856
MSFT,2015-05-01_09-43-34,48.64,25992
AMZN,2015-05-01_09-43-34,421.78,2854
SNE,2015-05-01_09-43-34,30.23,0
WMT,2015-05-01_09-43-34,78.05,21337
CAJ,2015-05-01_09-43-34,35.6,2200
TWTR,2015-05-01_09-43-34,38.96,70903
GOOG,2015-05-01_09-43-39,537.34,648
YHOO,2015-05-01_09-43-39,42.565,8415
AAPL,2015-05-01_09-43-39,125.15,194938
FB,2015-05-01_09-43-39,78.77,140856
MSFT,2015-05-01_09-43-39,48.64,25992
AMZN,2015-05-01_09-43-39,421.78,2854
SNE,2015-05-01_09-43-39,30.23,0
WMT,2015-05-01_09-43-39,78.05,21337
CAJ,2015-05-01_09-43-39,35.6,2200
TWTR,2015-05-01_09-43-39,38.96,70903
GOOG,2015-05-01_09-43-44,537.34,648
YHOO,2015-05-01_09-43-44,42.565,8415
AAPL,2015-05-01_09-43-44,125.15,194938
FB,2015-05-01_09-43-44,78.77,140856
MSFT,2015-05-01_09-43-44,48.64,25992
AMZN,2015-05-01_09-43-44,421.78,2854
SNE,2015-05-01_09-43-44,30.23,0
WMT,2015-05-01_09-43-44,78.05,21337
CAJ,2015-05-01_09-43-44,35.6,2200
TWTR,2015-05-01_09-43-44,38.96,70903
GOOG,2015-05-01_09-43-49,537.34,648
YHOO,2015-05-01_09-43-49,42.565,8415
AAPL,2015-05-01_09-43-49,125.15,194938
FB,2015-05-01_09-43-49,78.77,140856
MSFT,2015-05-01_09-43-49,48.64,25992
AMZN,2015-05-01_09-43-49,421.78,2854
SNE,2015-05-01_09-43-49,30.23,0
WMT,2015-05-01_09-43-49,78.05,21337
CAJ,2015-05-01_09-43-49,35.6,2200
TWTR,2015-05-01_09-43-49,38.96,70903
GOOG,2015-05-01_09-43-54,537.34,648
YHOO,2015-05-01_09-43-54,42.565,8415
AAPL,2015-05-01_09-43-54,125.15,194938
FB,2015-05-01_09-43-54,78.77,140856
MSFT,2015-05-01_09-43-54,48.64,25992
AMZN,2015-05-01_09-43-54,421.78,2854
SNE,2015-05-01_09-43-54,30.23,0
WMT,2015-05-01_09-43-54,78.05,21337
CAJ,2015-05-01_09-43-54,35.6,2200
TWTR,2015-05-01_09-43-54,38.96,70903
GOOG,2015-05-01_09-43-59,537.34,648
YHOO,2015-05-01_09-43-59,42.565,8415
AAPL,2015-05-01_09-43-59,125.15,194938
FB,2015-05-01_09-43-59,78.77,140856
MSFT,2015-05-01_09-43-59,48.64,25992
AMZN,2015-05-01_09-43-59,421.78,2854
SNE,2015-05-01_09-43-59,30.23,0
WMT,2015-05-01_09-43-59,78.05,21337
CAJ,2015-05-01_09-43-59,35.6,2200
TWTR,2015-05-01_09-43-59,38.96,70903
GOOG,2015-05-01_09-44-07,537.34,648
YHOO,2015-05-01_09-44-07,42.565,8415
AAPL,2015-05-01_09-44-07,125.15,194938
FB,2015-05-01_09-44-07,78.77,140856
MSFT,2015-05-01_09-44-07,48.64,25992
AMZN,2015-05-01_09-44-07,421.78,2854
SNE,2015-05-01_09-44-07,30.23,0
WMT,2015-05-01_09-44-07,78.05,21337
CAJ,2015-05-01_09-44-07,35.6,2200
TWTR,2015-05-01_09-44-07,38.96,70903
GOOG,2015-05-01_09-44-12,537.34,648
YHOO,2015-05-01_09-44-12,42.565,8415
AAPL,2015-05-01_09-44-12,125.15,194938
FB,2015-05-01_09-44-12,78.77,140856
MSFT,2015-05-01_09-44-12,48.64,25992
AMZN,2015-05-01_09-44-12,421.78,2854
SNE,2015-05-01_09-44-12,30.23,0
WMT,2015-05-01_09-44-12,78.05,21337
CAJ,2015-05-01_09-44-12,35.6,2200
TWTR,2015-05-01_09-44-12,38.96,70903
GOOG,2015-05-01_09-44-17,537.34,648
YHOO,2015-05-01_09-44-17,42.565,8415
AAPL,2015-05-01_09-44-17,125.15,194938
FB,2015-05-01_09-44-17,78.77,140856
MSFT,2015-05-01_09-44-17,48.64,25992
AMZN,2015-05-01_09-44-17,421.78,2854
SNE,2015-05-01_09-44-17,30.23,0
WMT,2015-05-01_09-44-17,78.05,21337
CAJ,2015-05-01_09-44-17,35.6,2200
TWTR,2015-05-01_09-44-17,38.96,70903
GOOG,2015-05-01_09-44-22,537.34,648
YHOO,2015-05-01_09-44-22,42.565,8415
AAPL,2015-05-01_09-44-22,125.15,194938
FB,2015-05-01_09-44-22,78.77,140856
MSFT,2015-05-01_09-44-22,48.64,25992
AMZN,2015-05-01_09-44-22,421.78,2854
SNE,2015-05-01_09-44-22,30.23,0
WMT,2015-05-01_09-44-22,78.05,21337
CAJ,2015-05-01_09-44-22,35.6,2200
TWTR,2015-05-01_09-44-22,38.96,70903
GOOG,2015-05-01_09-44-27,537.34,648
YHOO,2015-05-01_09-44-27,42.565,8415
AAPL,2015-05-01_09-44-27,125.15,194938
FB,2015-05-01_09-44-27,78.77,140856
MSFT,2015-05-01_09-44-27,48.64,25992
AMZN,2015-05-01_09-44-27,421.78,2854
